day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
-1;0;RAINFOREST_RESIN;10002;0;9996;2;9995;29;10004;-2;10005;-29;;;10003.0;10002
-1;0;KELP;2028;1;2026;2;2025;29;2029;-31;;;;;2028.5;10002
-1;100;RAINFOREST_RESIN;9996;2;9995;22;;;10004;-2;10005;-22;;;10000.0;20004
-1;100;KELP;2025;24;;;;;2028;-2;2029;-22;;;2026.5;20004
-1;200;RAINFOREST_RESIN;9995;20;;;;;10005;-20;;;;;10000.0;30006
-1;200;KELP;2025;22;;;;;2028;-20;;;;;2026.5;30006
-1;300;RAINFOREST_RESIN;9996;2;9995;29;;;10004;-2;10005;-29;;;10000.0;40008
-1;300;KELP;2025;31;;;;;2028;-2;2029;-29;;;2026.5;40008
-1;400;RAINFOREST_RESIN;9996;2;9995;25;;;10004;-2;10005;-25;;;10000.0;50010
-1;400;KELP;2025;27;;;;;2028;-27;;;;;2026.5;50010
-1;500;RAINFOREST_RESIN;9995;30;;;;;10002;-4;10005;-30;;;9998.5;60012
-1;500;KELP;2025;30;;;;;2028;-30;;;;;2026.5;60012
-1;600;RAINFOREST_RESIN;10000;5;9995;25;;;10005;-25;;;;;10002.5;70014
-1;600;KELP;2026;5;2025;31;;;2028;-25;;;;;2027.0;70014
-1;700;RAINFOREST_RESIN;9995;23;;;;;10005;-23;;;;;10000.0;80016
-1;700;KELP;2025;2;2024;23;;;2028;-23;;;;;2026.5;80016
-1;800;RAINFOREST_RESIN;9996;1;9995;29;;;10004;-1;10005;-29;;;10000.0;90018
-1;800;KELP;2024;1;2023;29;;;2027;-30;;;;;2025.5;90018
-1;900;RAINFOREST_RESIN;9996;1;9995;22;;;10004;-1;10005;-22;;;10000.0;100020
-1;900;KELP;2024;23;;;;;2027;-23;;;;;2025.5;100020
-1;1000;RAINFOREST_RESIN;9995;26;;;;;10005;-26;;;;;10000.0;110022
-1;1000;KELP;2024;26;;;;;2026;-6;2027;-26;;;2025.0;110022
-1;1100;RAINFOREST_RESIN;9996;2;9995;24;;;10004;-2;10005;-24;;;10000.0;120024
-1;1100;KELP;2025;6;2024;26;;;2027;-2;2028;-24;;;2026.0;120024
-1;1200;RAINFOREST_RESIN;9995;21;;;;;9998;-1;10005;-21;;;9996.5;100024
-1;1200;KELP;2024;21;;;;;2026;-8;2028;-21;;;2025.0;100024
-1;1300;RAINFOREST_RESIN;10002;0;9996;1;9995;30;10004;-1;10005;-30;;;10003.0;90026
-1;1300;KELP;2024;31;;;;;2028;-31;;;;;2026.0;90026
-1;1400;RAINFOREST_RESIN;9996;1;9995;25;;;10004;-1;10005;-25;;;10000.0;70026
-1;1400;KELP;2025;3;2024;25;;;2028;-26;;;;;2026.5;70026
-1;1500;RAINFOREST_RESIN;9995;27;;;;;10005;-27;;;;;10000.0;50026
-1;1500;KELP;2024;27;;;;;2028;-27;;;;;2026.0;50026
